id_transaccion,etiqueta,nodos_subgrafo,aristas_subgrafo,I1,I2,I3,I4,I5,J1,J2,J3,J4,J5,S_CLON,S_CNP,prediccion,explicacion
TXN_L_0507,legitima,62,90,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0520,legitima,61,94,1,1,0,0,0.0233,0,0.3333,0.3333,0.3333,0.0,0.6023,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0224,legitima,66,96,0,1,0,0,0.0556,1,0.3333,0.3333,0.3333,0.0,0.2556,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_P_0014,cnp,62,76,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.5,0.25,0.5833,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0067,legitima,70,110,0,0,0,0,0.0556,1,0.3333,0.3333,0.3333,0.0,0.0056,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0353,legitima,28,48,1,1,0,0,0.1429,0,0.3333,0.3333,0.3333,0.0,0.6143,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0517,legitima,69,98,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0659,legitima,63,96,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0235,legitima,70,114,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0268,legitima,67,92,1,1,0,0,0.025,0,0.3333,0.3333,0.3333,0.15,0.6025,0.1983,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0585,legitima,45,72,0,1,0,0,0.0435,1,0.3333,0.3333,0.3333,0.0,0.2544,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0531,legitima,62,96,0,1,0,0,0.0278,1,0.3333,0.3333,0.3333,0.0,0.2528,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0607,legitima,54,98,0,1,0,0,0.087,1,0.3333,0.3333,0.3333,0.0,0.2587,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0064,legitima,37,60,1,1,0,0,0.1364,0,0.3333,0.3333,0.3333,0.0,0.6136,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0668,legitima,38,64,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0278,legitima,78,124,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_C_0028,clonacion,71,106,1,0,0,0,0.0233,0,0.3333,0.3333,0.3333,0.0,0.3523,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0809,legitima,38,50,1,1,0,0,0.1176,0,0.3333,0.3333,0.3333,0.0,0.6118,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0599,legitima,51,64,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.3214,0.25,0.5655,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0441,legitima,42,64,1,1,0,0,0.1,0,0.3333,0.3333,0.3333,0.0,0.61,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0862,legitima,51,72,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.3333,0.6,0.2166,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0645,legitima,31,44,1,1,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.6,0.1833,clonacion,α1·I1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0775,legitima,63,106,1,0,0,0,0.0556,0,0.3333,0.3333,0.3333,0.0,0.3556,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0657,legitima,57,88,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.0,0.5333,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0770,legitima,55,108,1,0,0,0,0.0435,0,0.3333,0.3333,0.3333,0.0,0.3543,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0008,legitima,32,52,0,1,0,0,0.1176,1,0.3333,0.3333,0.3333,0.0,0.2618,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0582,legitima,69,100,0,1,0,0,0.0444,1,0.3333,0.3333,0.3333,0.087,0.2544,0.542,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0369,legitima,56,80,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0381,legitima,66,96,1,0,0,1,0.0556,0,0.3333,0.3333,0.3333,0.0,0.4556,0.1833,clonacion,α1·I1=0.35 | α4·I4=0.1 | β2·J2=0.083
TXN_P_0017,cnp,71,88,0,0,0,0,0.0,1,0.3333,0.3333,0.3333,0.4706,0.0,0.5804,cnp,β1·J1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0564,legitima,45,70,0,1,0,0,0.0526,1,0.3333,0.3333,0.3333,0.0,0.2553,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0385,legitima,55,86,0,1,0,0,0.08,1,0.3333,0.3333,0.3333,0.0,0.258,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0858,legitima,57,96,1,0,0,0,0.0,0,0.3333,0.3333,0.3333,0.0,0.35,0.1833,clonacion,α1·I1=0.35 | β2·J2=0.083 | β3·J3=0.067
TXN_L_0147,legitima,42,68,0,1,0,0,0.0,1,0.3333,0.3333,0.3333,0.0,0.25,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
TXN_L_0867,legitima,50,70,0,1,0,0,0.0625,1,0.3333,0.3333,0.3333,0.0,0.2562,0.5333,cnp,β1·J1=0.35 | α2·I2=0.25 | β2·J2=0.083
